Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
2 * Mean,99.19875000000002,0.9442442396029943
2 * Median,99.19875000000002,0.9442442396029943
Min + Max,98.55,2.241972666537217
2 * Mean,102.925,4.421080956974776
2 * Median,106.9,7.390609895333401
Min + Max,99.6,0.6682021587813076
2 * Mean,98.472,2.195083463424569
2 * Median,97.8,3.4486199957374257
Min + Max,99.95,0.24675
